SentenceID,Text,Duration,Speaker,Sentiment
1,"Hi, thank you for calling Hotel California.",2.342,B,POSITIVE
2,This is Candice.,0.848,B,NEUTRAL
3,How may I help you?,1.204,B,NEUTRAL
4,"Hi, Candice, this is Stephen.",2.624,A,NEUTRAL
5,"I'd like to book for four people, please.",2.628,A,NEUTRAL
6,And that would be for August 18.,5.54,A,NEUTRAL
7,"Sure, Stephen, I'd be happy to help you with that.",2.52,B,POSITIVE
8,So which room do you have in mind?,2.38,B,NEUTRAL
9,"Actually, I gotta tell you first that I am super busy, so I haven't been able to browse through your website.",8.14,A,NEGATIVE
10,And I don't know.,1.48,A,NEUTRAL
11,"I don't really know the rooms you have right now, but I could give you my requirements and then you suggest the best rooms for me.",8.98,A,NEUTRAL
12,Could we do that?,1.264,A,NEUTRAL
13,Absolutely.,0.808,B,NEUTRAL
14,What do you need?,0.98,B,NEUTRAL
15,"So there are four of us, including me, and we need something with a wifi and maybe a swimming pool.",9.3,A,NEUTRAL
16,Got it.,0.872,B,POSITIVE
17,Will you four be staying in one room or separate rooms?,3.524,B,NEUTRAL
18,"Oh, sorry, I forgot to tell you that would be separate.",4.344,A,NEGATIVE
19,"Because, you see, we're two couples, so we need two rooms.",3.508,A,NEUTRAL
20,I see.,1.008,B,NEUTRAL
21,"So in that case, I recommend two deluxe kings.",4.996,B,POSITIVE
22,"Each room has a king size bed, which fits two people, a wifi, and access to a swimming pool and free lunch and breakfast.",9.76,B,POSITIVE
23,All of these for $200 each.,2.896,B,NEUTRAL
24,And that's going to be $400 for two rooms.,3.592,B,NEUTRAL
25,How does it sound?,1.22,B,NEUTRAL
26,"Oh, that is a bit too much.",2.912,A,NEGATIVE
27,"That's a bit expensive, actually.",2.464,A,NEGATIVE
28,Do you maybe have something more affordable than that?,3.36,A,NEUTRAL
29,It's just not.,0.792,A,NEGATIVE
30,"Now that I think about it, I remember there's a beach close to your hotel, so we will probably just take a trip there and you can take out the swimming pool.",10.168,A,NEUTRAL
31,Is that possible?,0.984,A,NEUTRAL
32,Sure.,0.528,B,NEUTRAL
33,Let me see your options here.,2.772,B,NEUTRAL
34,"So if you want to take out the swimming pool and just have the Wi Fi, then we certainly have a room for that.",7.784,B,POSITIVE
35,"And that is the classic king for $125 each, which is 250 for two rooms as opposed to 400.",9.354,B,NEUTRAL
36,And you're still going to get the king size bed and the wifi.,3.488,B,NEUTRAL
37,"But I have to tell you, Stephen, aside from having no swimming pool, you will also only get a free breakfast instead of lunch and breakfast.",10.012,B,NEGATIVE
38,Is that okay with you?,1.5,B,NEUTRAL
39,Perfect.,0.568,A,POSITIVE
40,Perfect.,0.296,A,POSITIVE
41,"Candice, that's exactly, exactly what we need.",2.594,A,NEUTRAL
42,"We'll be having lunch at the beach anyway, so we won't be eating at the hotel.",4.028,A,NEUTRAL
43,So to Kazi King it is.,2.184,A,NEUTRAL
44,"Do you need my credit card number, or what do you need for security purposes?",4.176,B,NEUTRAL
45,We don't really take credit card info over the phone.,2.928,B,NEUTRAL
46,"But what I need from you instead is your email address, where I can send you a link where you can securely pay and enter your card information.",9.924,B,NEUTRAL
47,"Okay, cool.",1.016,A,POSITIVE
48,You can send it to stephen 182 mail.com thank you.,8.772,A,POSITIVE
49,"How do you spell Stephen, by the way?",1.88,B,NEUTRAL
50,Is that a Stephen with a v or a Steven with a p?,3.34,B,NEUTRAL
51,That's with a p for pepper.,2.58,A,NEUTRAL
52,Thank you.,1.06,B,POSITIVE
53,"So just to make sure, let me just spell that out for you.",2.616,B,NEUTRAL
54,"That is s for Sierra, t for Tango, e for echo, P for Peter, h for hotel, n for Nancy, one eight two mail.com.",12.484,B,NEUTRAL
55,"Yep, that's correct.",1.844,A,POSITIVE
56,"Okay, perfect.",2.736,B,POSITIVE
57,"So just to recap, you will be booking two classic kings this August 18, 2020, and the total amount is $250 for two rooms.",13.29,B,NEUTRAL
58,Are all of these correct?,1.476,B,NEUTRAL
59,"Yep, all correct.",1.78,A,POSITIVE
60,"Thank you, Steven.",1.128,B,POSITIVE
61,"So after this call, you should receive an email from bookingalliehotel.com.",5.832,B,NEUTRAL
62,And that email is a secure link where you can click and enter your full name and card info.,7.256,B,NEUTRAL
63,I also want to remind you not to click any of the email that is not from bookingallihotel.com dot because we only take payments through this one email.,8.612,B,NEGATIVE
64,"All right, gotcha.",1.868,A,POSITIVE
65,So is there anything else that I can help you with today?,2.62,B,NEUTRAL
66,Nope.,0.72,A,NEUTRAL
67,"You've been very helpful, Candice.",2.16,A,POSITIVE
68,Thank you so much.,1.464,A,POSITIVE
69,"You're most welcome, Stephen.",1.376,B,POSITIVE
70,Thank you for calling Hotel California.,1.808,B,POSITIVE
71,You have a great day.,1.192,B,POSITIVE
72,"Have a great day, Candice.",1.504,A,POSITIVE
73,Bye.,0.336,A,NEUTRAL
